Social support	Healthy life expectancy	Freedom to make life choices	Generosity	Perceptions of corruption
0.947	70.807	0.858	-0.208	0.868
0.948	71.4	0.949	-0.101	0.806
0.821	63.813	0.869	0.257	0.917
0.936	69.201	0.766	-0.124	0.911
0.935	67.906	0.773	-0.203	0.826
0.941	68.8	0.909	-0.106	0.527
0.898	69.702	0.841	-0.165	0.735
0.832	67.355	0.845	-0.219	0.938
0.873	68.6	0.778	0.002	0.835
0.927	67.1	0.715	-0.162	0.8
0.943	68	0.755	-0.186	0.876
0.924	70.799	0.754	-0.118	0.939
0.87	68.098	0.706	0.113	0.931
0.858	68.699	0.708	-0.034	0.812
0.931	67	0.788	-0.096	0.932
0.697	68.999	0.785	-0.03	0.901
0.805	65.474	0.751	0.038	0.905
0.918	65.255	0.97	0.311	0.515
0.952	65.2	0.853	-0.069	0.733
0.857	65.699	0.822	-0.079	0.918
0.893	64.401	0.935	0.119	0.908
0.91	66.253	0.65	-0.18	0.627
0.903	64.703	0.718	-0.111	0.845
0.86	64.281	0.832	-0.056	0.553
0.799	67.055	0.825	-0.168	0.629
0.836	65.656	0.814	-0.223	0.506
0.983	62.409	0.877	0.273	0.888
0.671	64.3	0.783	-0.238	0.655
0.888	64.902	0.724	-0.011	0.924
0.898	69.6	0.784	-0.07	0.721
0.884	75.1	0.796	-0.258	0.638
0.799	73.9	0.672	-0.083	0.727
0.935	62.5	0.708	0.116	0.856
0.836	76.82	0.717	0.067	0.403
0.811	69.593	0.904	-0.146	0.755
0.891	71.4	0.934	-0.126	0.809
0.813	64.958	0.906	-0.038	0.775
0.925	69.1	0.896	-0.092	0.59
0.882	66.601	0.804	-0.071	0.756
0.831	68.597	0.862	-0.147	0.799
0.877	67.5	0.89	-0.137	0.884
0.896	69.652	0.872	-0.166	0.856
0.882	70	0.742	-0.044	0.83
0.762	66.402	0.888	-0.11	0.688
0.847	68.001	0.837	-0.135	0.841
0.864	67.657	0.836	0.02	0.664
0.898	69	0.828	-0.182	0.834
0.812	67.3	0.857	0.081	0.809
